 time_between_2_SV	 jitter
812	562.000000
368	118.000000
501	251.000000
563	313.000000
380	130.000000
398	148.000000
309	59.000000
42	208.000000
79	171.000000
171	79.000000
164	86.000000
712	462.000000
46	204.000000
54	196.000000
274	24.000000
92	158.000000
126	124.000000
276	26.000000
271	21.000000
262	12.000000
409	159.000000
129	121.000000
86	164.000000
79	171.000000
99	151.000000
305	55.000000
247	3.000000
71	179.000000
180	70.000000
600	350.000000
111	139.000000
33	217.000000
26	224.000000
145	105.000000
80	170.000000
211	39.000000
76	174.000000
226	24.000000
282	32.000000
164	86.000000
136	114.000000
432	182.000000
151	99.000000
145	105.000000
141	109.000000
203	47.000000
565	315.000000
60	190.000000
155	95.000000
985	735.000000
951	701.000000
1056	806.000000
182	68.000000
28	222.000000
499	249.000000
187	63.000000
1005	755.000000
836	586.000000
86	164.000000
1066	816.000000
652	402.000000
74	176.000000
49	201.000000
125	125.000000
538	288.000000
40	210.000000
438	188.000000
975	725.000000
33	217.000000
33	217.000000
18	232.000000
22	228.000000
26	224.000000
19	231.000000
24	226.000000
21	229.000000
15	235.000000
16	234.000000
18	232.000000
15	235.000000
13	237.000000
17	233.000000
16	234.000000
14	236.000000
18	232.000000
25	225.000000
18	232.000000
16	234.000000
17	233.000000
44	206.000000
19	231.000000
32	218.000000
14	236.000000
26	224.000000
50	200.000000
27	223.000000
19	231.000000
42	208.000000
18	232.000000
25	225.000000
30	220.000000
18	232.000000
16	234.000000
27	223.000000
26	224.000000
21	229.000000
67	183.000000
37	213.000000
39	211.000000
21	229.000000
22	228.000000
20	230.000000
18	232.000000
15	235.000000
16	234.000000
17	233.000000
24	226.000000
19	231.000000
48	202.000000
47	203.000000
57	193.000000
23	227.000000
30	220.000000
53	197.000000
20	230.000000
15	235.000000
15	235.000000
18	232.000000
15	235.000000
23	227.000000
57	193.000000
33	217.000000
20	230.000000
44	206.000000
18	232.000000
24	226.000000
30	220.000000
30	220.000000
18	232.000000
19	231.000000
33	217.000000
57	193.000000
37	213.000000
17	233.000000
36	214.000000
123	127.000000
670	420.000000
91	159.000000
41	209.000000
28	222.000000
33	217.000000
17	233.000000
24	226.000000
19	231.000000
17	233.000000
16	234.000000
24	226.000000
20	230.000000
15	235.000000
16	234.000000
17	233.000000
16	234.000000
23	227.000000
26	224.000000
38	212.000000
17	233.000000
27	223.000000
34	216.000000
15	235.000000
24	226.000000
20	230.000000
24	226.000000
19	231.000000
17	233.000000
16	234.000000
23	227.000000
22	228.000000
15	235.000000
14	236.000000
16	234.000000
30	220.000000
14	236.000000
14	236.000000
16	234.000000
21	229.000000
18	232.000000
16	234.000000
14	236.000000
22	228.000000
28	222.000000
36	214.000000
29	221.000000
22	228.000000
38	212.000000
17	233.000000
23	227.000000
15	235.000000
15	235.000000
15	235.000000
14	236.000000
14	236.000000
15	235.000000
23	227.000000
15	235.000000
16	234.000000
24	226.000000
24	226.000000
19	231.000000
14	236.000000
14	236.000000
16	234.000000
22	228.000000
16	234.000000
15	235.000000
15	235.000000
13	237.000000
22	228.000000
27	223.000000
23	227.000000
27	223.000000
18	232.000000
14	236.000000
16	234.000000
21	229.000000
17	233.000000
25	225.000000
17	233.000000
22	228.000000
19	231.000000
22	228.000000
15	235.000000
16	234.000000
